序号,原始英文名称,原始简称,规范英文名称,标准中文名称,中文名称参考链接,是否真实存在,官方网站,官网参考链接,UIA公开档案链接,成立年份,总部城市,总部国家或地区,组织类型,所属层级,是否建议前台展示,项目角色建议,UIA_Type_I,UIA_Type_II,UIA_Org_ID,核验状态,备注,公开宗旨摘要
12,International Joint Conferences on Artificial Intelligence,IJCAI,International Joint Conferences on Artificial Intelligence,,,是,http://ijcai.org/,https://uia.org/s/or/en/1100044323,https://uia.org/s/or/en/1100044323,1969,Vienna,USA,会议系列/活动平台,event,否，建议挂到行动库或工具库,行动库/事件层,F,c,XF1031,已核验,未检索到稳定中文名称,Disseminate information on Artificial Intelligence.
13,Pacific Rim International Conferences on Artificial Intelligence,PRICAI,Pacific Rim International Conferences on Artificial Intelligence,,,是,http://www.pricai.org/,https://uia.org/s/or/en/1122278267,https://uia.org/s/or/en/1122278267,1990,Nathan QLD,Japan,会议系列/活动平台,event,否，建议挂到行动库或工具库,行动库/事件层,F,c,XJ9450,已核验,未检索到稳定中文名称,Create an artificial intelligence (AI) conference promoting collaborative exploitation of AI in the Pacific Rim nations.
14,Association for the Advancement of Artificial Intelligence,AAAI,Association for the Advancement of Artificial Intelligence,,,是,http://www.aaai.org/,https://uia.org/s/or/en/1122278342,https://uia.org/s/or/en/1122278342,1979,Washington DC,USA,协会/学会/联盟,organization,是，可作为组织对象展示,组织库生态层,G,,XJ9452,已核验,未检索到稳定中文名称,Advance scientific understanding of the mechanisms underlying thought and intelligent behaviour and their embodiment in machines.
15,International Association for Artificial Intelligence and Ethics,IAAE,International Association for Artificial Intelligence and Ethics,,,是,https://iaae.ai/,https://uia.org/s/or/en/1122288091,https://uia.org/s/or/en/1122288091,,Seoul,Korea Rep,协会/学会/联盟,organization,是，可作为组织对象展示,组织库生态层,G,,AA3918,已核验,未检索到稳定中文名称,
16,Artificial Intelligence Forensics,AI Forensics,Artificial Intelligence Forensics,,,是,https://aiforensics.org/,https://uia.org/s/or/en/1122291135,https://uia.org/s/or/en/1122291135,2021,Paris,France,待人工细分,organization,是，可作为组织对象展示,待人工判断,J,,AA6962,已核验,未检索到稳定中文名称,"Apply innovative methods to uncover digital rights violations and provide information to help shape regulatory policies; shine a light on hidden algorithmic injustices, and work to bring accountability and transparency to the tech industry."
17,International Research Center for Artificial Intelligence under the auspices of UNESCO,IRCAI,International Research Center for Artificial Intelligence under the auspices of UNESCO,,,是,https://ircai.org/,https://uia.org/s/or/en/1122285686,https://uia.org/s/or/en/1122285686,2020,Ljubljana,Slovenia,研究中心/网络/联合体,organization,是，可作为组织对象展示,组织库/专题层,J,g,AA1518,已核验,未检索到稳定中文名称,"Engage in research, advocacy, capacity-building and dissemination of information about AI."
18,International Society for Logic and Artificial Intelligence,ISLAI,International Society for Logic and Artificial Intelligence,,,是,https://islai.org/,https://uia.org/s/or/en/1122290654,https://uia.org/s/or/en/1122290654,,Chisinau,Moldova,协会/学会/联盟,organization,是，可作为组织对象展示,组织库生态层,J,,AA6481,已核验,未检索到稳定中文名称,
19,AINL: Artificial Intelligence and Natural Language Conference,AINL,AINL: Artificial Intelligence and Natural Language Conference,,,是,https://ainlconf.ru/,https://uia.org/s/or/en/1122285870,https://uia.org/s/or/en/1122285870,2012,,,会议系列/活动平台,event,否，建议挂到行动库或工具库,行动库/事件层,S,c,AA1702,已核验,未检索到稳定中文名称,
20,Australasian Joint Conference on Artificial Intelligence,AJCAI,Australasian Joint Conference on Artificial Intelligence,,,是,https://ajcai26.org/,,https://uia.org/s/or/en/1122288644,,,,会议系列/活动平台,event,否，建议挂到行动库或工具库,行动库/事件层,S,c,AA4471,已核验,未读到稳定官网；未检索到稳定中文名称,
21,European Conference on the Impact of Artificial Intelligence and Robotics,ECIAIR,European Conference on the Impact of Artificial Intelligence and Robotics,,,是,https://www.academic-conferences.org/conferences/eciair/,https://uia.org/s/or/en/1122285567,https://uia.org/s/or/en/1122285567,,,,会议系列/活动平台,event,否，建议挂到行动库或工具库,行动库/事件层,S,c,AA1399,已核验,未检索到稳定中文名称,
22,International Conference on Applied Artificial Intelligence,ICAPAI,International Conference on Applied Artificial Intelligence,,,是,https://2ai-conference.org/,,https://uia.org/s/or/en/1122289956,,,,会议系列/活动平台,event,否，建议挂到行动库或工具库,行动库/事件层,S,c,AA5783,已核验,未读到稳定官网；未检索到稳定中文名称,
23,International Conference on Artificial Intelligence and Statistics,AISTATS,International Conference on Artificial Intelligence and Statistics,,,是,https://www.aistats.org/,https://uia.org/s/or/en/1122284292,https://uia.org/s/or/en/1122284292,1985,,Princeton NJ USA,会议系列/活动平台,event,否，建议挂到行动库或工具库,行动库/事件层,S,c,AA0124,已核验,未检索到稳定中文名称,
24,"International Conference on Frontiers of Artificial Intelligence, Ethics, and Multidisciplinary Applications",FAIEMA,"International Conference on Frontiers of Artificial Intelligence, Ethics, and Multidisciplinary Applications",,,是,https://www.faiema.org,https://uia.org/s/or/en/1122291723,https://uia.org/s/or/en/1122291723,,,,会议系列/活动平台,event,否，建议挂到行动库或工具库,行动库/事件层,S,c,AA7549,已核验,未检索到稳定中文名称,
25,International Conference on Innovation in Computer Science and Artificial Intelligence,ICAICONF,International Conference on Innovation in Computer Science and Artificial Intelligence,,,是,https://www.icaiconf.org/,https://uia.org/s/or/en/1122284467,https://uia.org/s/or/en/1122284467,2018,,Barcelona Spain,会议系列/活动平台,event,否，建议挂到行动库或工具库,行动库/事件层,S,c,AA0299,已核验,未检索到稳定中文名称,
26,"International Conference on the Integration of Constraint Programming, Artificial Intelligence, and Operations Research",CPAIOR,"International Conference on the Integration of Constraint Programming, Artificial Intelligence, and Operations Research",,,是,,,https://uia.org/s/or/en/1122285644,2004,,Nice France,会议系列/活动平台,event,否，建议挂到行动库或工具库,行动库/事件层,S,c,AA1476,已核验,未读到稳定官网；未检索到稳定中文名称,"Bring together interested researchers from Constraint Programming (CP), Artificial Intelligence (AI) and Operations Research (OR) to present new techniques or new applications; provide an opportunity for researchers in one area to learn about techniques in the others."
27,International FLINS Conference on Robotics and Artificial Intelligence,FLINS,International FLINS Conference on Robotics and Artificial Intelligence,,,是,,,https://uia.org/s/or/en/1122286281,1994,,Mol Belgium,会议系列/活动平台,event,否，建议挂到行动库或工具库,行动库/事件层,S,c,AA2113,已核验,未读到稳定官网；未检索到稳定中文名称,"Bridge the gap between machine intelligence and real complex systems via joint research between universities and international research institutions, encouraging interdisciplinary research and bringing multidiscipline researchers together."
28,"International Symposium on Artificial Intelligence, Robotics and Automation in Space",i-SAIRAS,"International Symposium on Artificial Intelligence, Robotics and Automation in Space",,,是,,,https://uia.org/s/or/en/1122291670,,,,会议系列/活动平台,event,否，建议挂到行动库或工具库,行动库/事件层,S,c,AA7496,已核验,未读到稳定官网；未检索到稳定中文名称,
29,Responsible Artificial Intelligence in the Military Domain Summit,REAIM,Responsible Artificial Intelligence in the Military Domain Summit,,,待人工复核,,,,,,,会议系列/活动平台,event,否，建议挂到行动库或工具库,行动库/事件层,S,cg,AA7416,未命中UIA公开档案,未命中 UIA profile；未读到稳定官网；未检索到稳定中文名称,
30,"Council of Europe Framework Convention on Artificial Intelligence and Human Rights, Democracy and the Rule of Law",,"Council of Europe Framework Convention on Artificial Intelligence and Human Rights, Democracy and the Rule of Law",,,是,https://www.coe.int/en/web/conventions/,https://uia.org/s/or/en/1122289214,https://uia.org/s/or/en/1122289214,2024,,Strasbourg France,规范文件/框架,instrument,否，建议挂到行动库或工具库,工具库/规范层,T,g,AA5041,已核验,未检索到稳定中文名称,
31,"Balcanic Union for Fuzzy Systems and Artificial Intelligence Fuzzy Sets and Systems, Romania",BUFSA,"Balcanic Union for Fuzzy Systems and Artificial Intelligence Fuzzy Sets and Systems, Romania",,,是,,,https://uia.org/s/or/en/1100029545,,,,待人工细分,organization,是，可作为组织对象展示,待人工判断,U,x,XJ0013,已核验,未读到稳定官网；未检索到稳定中文名称,
32,Global Commission on Responsible Artificial Intelligence in the Military Domain,GC REAIM,Global Commission on Responsible Artificial Intelligence in the Military Domain,,,是,https://hcss.nl/gcreaim/,https://uia.org/s/or/en/1122291588,https://uia.org/s/or/en/1122291588,2023,,,倡议/伙伴关系/基金/委员会,organization,是，可作为组织对象展示,组织库核心候选,U,d,AA7414,已核验,未检索到稳定中文名称,
33,"International Network of Cognitive Science, Artificial Intelligence and Neuroscience",,"International Network of Cognitive Science, Artificial Intelligence and Neuroscience",,,是,,,https://uia.org/s/or/en/1100052340,1986,,Zurich Switzerland,研究中心/网络/联合体,organization,是，可作为组织对象展示,组织库/专题层,U,dy,XF0362,已核验,未读到稳定官网；未检索到稳定中文名称,"Collect data about research on cognitive science, artificial intelligence and neuroscience."
34,Artificial General Intelligence Society,AGI Society,Artificial General Intelligence Society,,,是,https://agi-society.org/,https://uia.org/s/or/en/1122283293,https://uia.org/s/or/en/1122283293,2011,,,协会/学会/联盟,organization,是，可作为组织对象展示,组织库生态层,J,,XM7947,已核验,未检索到稳定中文名称,"Promote the study of artificial general intelligence (AGI), and the design of AGI systems; facilitate cooperation and communication among those."
35,Artificial General Intelligence Research Institute,AGIRI,Artificial General Intelligence Research Institute,,,是,http://www.agiri.org/,https://uia.org/s/or/en/1100022756,https://uia.org/s/or/en/1100022756,2001,Washington DC,USA,研究中心/网络/联合体,organization,是，可作为组织对象展示,组织库/专题层,N,j,XJ0281,已核验,未检索到稳定中文名称,Foster the creation of powerful and ethically positive artificial general intelligence.
36,International Machine Learning Society,IMLS,International Machine Learning Society,,,是,http://www.machinelearning.org/,https://uia.org/s/or/en/1100059478,https://uia.org/s/or/en/1100059478,,La Jolla CA,USA,协会/学会/联盟,organization,是，可作为组织对象展示,组织库生态层,G,,XM3576,已核验,未检索到稳定中文名称,Foster machine learning research.
37,Asian Conference on Machine Learning,ACML,Asian Conference on Machine Learning,,,是,https://www.acml-conf.org/,https://uia.org/s/or/en/1122287202,https://uia.org/s/or/en/1122287202,2009,,Nanjing China,会议系列/活动平台,event,否，建议挂到行动库或工具库,行动库/事件层,S,c,AA3029,已核验,未检索到稳定中文名称,
38,European Conference on Machine Learning,ECML,European Conference on Machine Learning,,,是,,,https://uia.org/s/or/en/1122290440,1986,,Orsay France,会议系列/活动平台,event,否，建议挂到行动库或工具库,行动库/事件层,S,cd,AA6267,已核验,未读到稳定官网；未检索到稳定中文名称,
39,European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases,ECML PKDD,European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases,,,是,https://ecmlpkdd.org/,https://uia.org/s/or/en/1122290442,https://uia.org/s/or/en/1122290442,2001,,,会议系列/活动平台,event,否，建议挂到行动库或工具库,行动库/事件层,S,c,AA6269,已核验,未检索到稳定中文名称,
40,"European Symposium on Artificial Neural Networks, Computational Intelligence and Machine Learning",ESANN,"European Symposium on Artificial Neural Networks, Computational Intelligence and Machine Learning",,,是,,,https://uia.org/s/or/en/1122282132,,,,会议系列/活动平台,event,否，建议挂到行动库或工具库,行动库/事件层,S,c,XS1844,已核验,未读到稳定官网；未检索到稳定中文名称,
41,"International Conference on Machine Learning, Optimization, and Data Science",LOD,"International Conference on Machine Learning, Optimization, and Data Science",,,是,,,https://uia.org/s/or/en/1122286574,2015,,Italy,会议系列/活动平台,event,否，建议挂到行动库或工具库,行动库/事件层,S,c,AA2401,已核验,未读到稳定官网；未检索到稳定中文名称,
42,New Pedagogies for Deep Learning,NPDL,New Pedagogies for Deep Learning,,,是,https://deep-learning.global/,https://uia.org/s/or/en/1122284459,https://uia.org/s/or/en/1122284459,2012,,Toronto ON Canada,待人工细分,organization,是，可作为组织对象展示,待人工判断,G,,AA0291,已核验,未检索到稳定中文名称,Transform learning by identifying new pedagogies that foster deep learning competencies and ways to measure progress.
43,Northern Lights Deep Learning Conference,NLDL,Northern Lights Deep Learning Conference,,,是,https://www.nldl.org/,https://uia.org/s/or/en/1122289006,https://uia.org/s/or/en/1122289006,,,,会议系列/活动平台,event,否，建议挂到行动库或工具库,行动库/事件层,S,c,AA4833,已核验,未检索到稳定中文名称,
44,Asia Pacific Neural Network Society,APNNS,Asia Pacific Neural Network Society,,,是,http://www.apnns.org/,https://uia.org/s/or/en/1100036473,https://uia.org/s/or/en/1100036473,1993,Tokyo,Japan,协会/学会/联盟,organization,是，可作为组织对象展示,组织库生态层,D,,XF4688,已核验,未检索到稳定中文名称,"Create a scientific and educational forum for students, educators, scientists, engineers, researchers, and the general public to learn about, share, contribute to, and to advance the state of knowledge in the theoretical modelling and analysis of behaviour and brain processes and their applications in technology."
45,European Neural Network Society,ENNS,European Neural Network Society,,,是,https://e-nns.org/,https://uia.org/s/or/en/1100028093,https://uia.org/s/or/en/1100028093,1991,Lausanne,Helsinki Finland,协会/学会/联盟,organization,是，可作为组织对象展示,组织库生态层,D,v,XD3441,已核验,未检索到稳定中文名称,Provide an interdisciplinary network for researchers coming from different disciplinary backgrounds with a common interest in the study of artificial and biological neural networks.
46,International Neural Network Society,INNS,International Neural Network Society,,,是,http://www.inns.org/,https://uia.org/s/or/en/1100063856,https://uia.org/s/or/en/1100063856,1987,Gainesville FL,USA,协会/学会/联盟,organization,是，可作为组织对象展示,组织库生态层,G,v,XG1925,已核验,未检索到稳定中文名称,
47,"European Symposium on Artificial Neural Networks, Computational Intelligence and Machine Learning",ESANN,"European Symposium on Artificial Neural Networks, Computational Intelligence and Machine Learning",,,是,,,https://uia.org/s/or/en/1122282132,,,,会议系列/活动平台,event,否，建议挂到行动库或工具库,行动库/事件层,S,c,XS1844,已核验,未读到稳定官网；未检索到稳定中文名称,
48,Asian Federation of Natural Language Processing,AFNLP,Asian Federation of Natural Language Processing,,,是,https://www.afnlp.org/web/,https://uia.org/s/or/en/1122276324,https://uia.org/s/or/en/1122276324,,,,协会/学会/联盟,organization,是，可作为组织对象展示,组织库生态层,D,,XJ6812,已核验,未检索到稳定中文名称,"Promote and enhance research and development relating to computational analysis and the automatic processing of all languages of importance to the Asian region without regard to differences in race, gender, language, religious belief or political stand."
49,Asian Federation of Computer Vision Societies,,Asian Federation of Computer Vision Societies,,,是,,,https://uia.org/s/or/en/1100041318,,Seoul,Korea Rep,协会/学会/联盟,organization,是，可作为组织对象展示,组织库生态层,D,,XM0430,已核验,未读到稳定官网；未检索到稳定中文名称,"Form a loose federation of Computer Vision, IP and related societies in Asia."
50,European Conference on Computer Vision,ECCV,European Conference on Computer Vision,,,是,http://eccv2014.org/,https://uia.org/s/or/en/1122269029,https://uia.org/s/or/en/1122269029,,,,会议系列/活动平台,event,否，建议挂到行动库或工具库,行动库/事件层,S,c,XM4077,已核验,未检索到稳定中文名称,
51,International Conference on Computer Vision Systems,ICVS,International Conference on Computer Vision Systems,,,是,,,https://uia.org/s/or/en/1122288672,,,,会议系列/活动平台,event,否，建议挂到行动库或工具库,行动库/事件层,S,c,AA4499,已核验,未读到稳定官网；未检索到稳定中文名称,
52,European Research Network for Cognitive Computer Vision Systems,EC Vision,European Research Network for Cognitive Computer Vision Systems,,,是,,,https://uia.org/s/or/en/1100050254,2002,,Nice France,研究中心/网络/联合体,organization,是，可作为组织对象展示,组织库/专题层,U,d,XJ3013,已核验,未读到稳定官网；未检索到稳定中文名称,"Promote research, education and application systems engineering in cognitive computer vision."
53,Big Data Value Association,BDVA,Big Data Value Association,,,是,https://bdva.eu/,https://uia.org/s/or/en/1122283886,https://uia.org/s/or/en/1122283886,,Brussels,Belgium,协会/学会/联盟,organization,是，可作为组织对象展示,组织库生态层,E,,XM8842,已核验,未检索到稳定中文名称,"Develop an innovation ecosystem that enables the data-driven and AI-enabled digital transformation of the economy and society in Europe; help advance and promote areas such as big data technologies and services, data platforms and data spaces, Industrial AI, data-driven value creation, standardisation and skills."
54,International Research Center of Big Data for Sustainable Development Goals,CBAS,International Research Center of Big Data for Sustainable Development Goals,,,是,http://www.cbas.ac.cn/en/,https://uia.org/s/or/en/1122290354,https://uia.org/s/or/en/1122290354,2020,Beijing,China,研究中心/网络/联合体,organization,是，可作为组织对象展示,组织库/专题层,G,j,AA6181,已核验,未检索到稳定中文名称,"Build a public big data science and technology platform in service of the 2030 Agenda for Sustainable Development, integrating scientific research, data services, technological innovation, policy-making support, and capacity building, with a goal of achieving the SDGs around the world."
55,International Symposium on Security and Privacy in Social Networks and Big Data,SocialSec,International Symposium on Security and Privacy in Social Networks and Big Data,,,是,,,https://uia.org/s/or/en/1122286552,2015,,Hangzhou China,会议系列/活动平台,event,否，建议挂到行动库或工具库,行动库/事件层,S,c,AA2379,已核验,未读到稳定官网；未检索到稳定中文名称,
56,Asian Association for Algorithms and Computation,AAAC,Asian Association for Algorithms and Computation,,,是,http://www.aa-ac.org/,https://uia.org/s/or/en/1122284388,https://uia.org/s/or/en/1122284388,2007,,,协会/学会/联盟,organization,是，可作为组织对象展示,组织库生态层,D,,AA0220,已核验,未检索到稳定中文名称,Promote collaborations in theoretical computer science within the region.
57,Interest Group on Algorithmic Foundations of Information Technology,IGAFIT,Interest Group on Algorithmic Foundations of Information Technology,,,是,https://igafit.mimuw.edu.pl/,https://uia.org/s/or/en/1122286553,https://uia.org/s/or/en/1122286553,2014,,,待人工细分,organization,是，可作为组织对象展示,待人工判断,F,v,AA2380,已核验,未检索到稳定中文名称,Integrate the European algorithms community; identify key researcyh challenges and themes.
58,AlgorithmWatch,,AlgorithmWatch,,,是,https://algorithmwatch.org/,https://uia.org/s/or/en/1122286478,https://uia.org/s/or/en/1122286478,2017,Berlin,Berlin Germany,待人工细分,organization,是，可作为组织对象展示,待人工判断,G,,AA2310,已核验,未检索到稳定中文名称,"Watch, unpack and analyze automated decision-making (ADM) systems and their impact on society."
59,Algorithms and Data Structures Symposium,WADS,Algorithms and Data Structures Symposium,,,是,https://www.wads.org/,https://uia.org/s/or/en/1122289889,https://uia.org/s/or/en/1122289889,1989,,,会议系列/活动平台,event,否，建议挂到行动库或工具库,行动库/事件层,S,c,AA5716,已核验,未检索到稳定中文名称,
60,European Symposium on Algorithms,ESA,European Symposium on Algorithms,,,是,,,https://uia.org/s/or/en/1122276653,,,,会议系列/活动平台,event,否，建议挂到行动库或工具库,行动库/事件层,S,c,XS1345,已核验,未读到稳定官网；未检索到稳定中文名称,
61,International Conference on Algorithms and Complexity,CIAC,International Conference on Algorithms and Complexity,,,是,,,https://uia.org/s/or/en/1122291839,1991,,,会议系列/活动平台,event,否，建议挂到行动库或工具库,行动库/事件层,S,c,AA7665,已核验,未读到稳定官网；未检索到稳定中文名称,
62,International Conference on Random Structures and Algorithms,RS & A,International Conference on Random Structures and Algorithms,,,是,,,https://uia.org/s/or/en/1122291258,1983,,,会议系列/活动平台,event,否，建议挂到行动库或工具库,行动库/事件层,S,c,AA7085,已核验,未读到稳定官网；未检索到稳定中文名称,
63,International Symposium on Algorithms and Computation,ISAAC,International Symposium on Algorithms and Computation,,,是,https://www.issac-conference.org/,https://uia.org/s/or/en/1122284389,https://uia.org/s/or/en/1122284389,1990,,,会议系列/活动平台,event,否，建议挂到行动库或工具库,行动库/事件层,S,c,AA0221,已核验,未检索到稳定中文名称,
64,International Workshop on Combinatorial Algorithms,IWOCA,International Workshop on Combinatorial Algorithms,,,是,http://www.iwoca.org/,https://uia.org/s/or/en/1122288865,https://uia.org/s/or/en/1122288865,1989,,Australia,会议系列/活动平台,event,否，建议挂到行动库或工具库,行动库/事件层,S,c,AA4692,已核验,未检索到稳定中文名称,
65,Scandinavian Symposium on Algorithm Theory,SWAT,Scandinavian Symposium on Algorithm Theory,,,是,https://swat-symposium.org/,https://uia.org/s/or/en/1122289888,https://uia.org/s/or/en/1122289888,,,,会议系列/活动平台,event,否，建议挂到行动库或工具库,行动库/事件层,S,c,AA5715,已核验,未检索到稳定中文名称,
66,Superconducting Qubits and Algorithms Conference,SQA,Superconducting Qubits and Algorithms Conference,,,待人工复核,,,,,,,会议系列/活动平台,event,否，建议挂到行动库或工具库,行动库/事件层,S,c,AA3778,未命中UIA公开档案,未命中 UIA profile；未读到稳定官网；未检索到稳定中文名称,
67,"Symposium on Algorithmic Approaches for Transportation Modeling, Optimization, and Systems",ATMOS,"Symposium on Algorithmic Approaches for Transportation Modeling, Optimization, and Systems",,,是,https://atmos-symposium.eu/,https://uia.org/s/or/en/1122286701,https://uia.org/s/or/en/1122286701,2001,,Greece,会议系列/活动平台,event,否，建议挂到行动库或工具库,行动库/事件层,S,c,AA2528,已核验,未检索到稳定中文名称,
68,Symposium on Experimental Algorithms,SEA,Symposium on Experimental Algorithms,,,是,,,https://uia.org/s/or/en/1122289180,,,,会议系列/活动平台,event,否，建议挂到行动库或工具库,行动库/事件层,S,c,AA5007,已核验,未读到稳定官网；未检索到稳定中文名称,
69,International Society for Genetic Algorithms,,International Society for Genetic Algorithms,,,是,,,https://uia.org/s/or/en/1100045081,1985,,,协会/学会/联盟,organization,是，可作为组织对象展示,组织库生态层,U,d,XM0341,已核验,未读到稳定官网；未检索到稳定中文名称,
70,Asia Cloud Computing Association,ACCA,Asia Cloud Computing Association,,,是,http://asiacloudcomputing.org/,https://uia.org/s/or/en/1122278782,https://uia.org/s/or/en/1122278782,2010,,,协会/学会/联盟,organization,是，可作为组织对象展示,组织库生态层,D,t,XM4095,已核验,未检索到稳定中文名称,Establish collaboration among cloud stakeholders in Asia to accelerate the growth of the cloud market.
71,"High Performance, Edge and Cloud computing",HiPEAC,"High Performance, Edge and Cloud computing",,,是,https://www.hipeac.net/,https://uia.org/s/or/en/1122286324,https://uia.org/s/or/en/1122286324,2004,,,待人工细分,organization,是，可作为组织对象展示,待人工判断,F,,AA2156,已核验,未检索到稳定中文名称,Stimulate and reinforce the development of the European computing ecosystem through roadmapping and networking activities.
72,International Virtual Assistants Association,IVAA,International Virtual Assistants Association,,,是,http://www.ivaa.org/,https://uia.org/s/or/en/1100014240,https://uia.org/s/or/en/1100014240,1999,Henderson NV,USA,协会/学会/联盟,organization,是，可作为组织对象展示,组织库生态层,N,t,XN9855,已核验,未检索到稳定中文名称,Promote professional education and development of members of the virtual assistance profession; educate the public on the role and function of the virtual assistant.
73,Clinical Robotic Surgery Association,CRSA,Clinical Robotic Surgery Association,,,是,https://clinicalrobotics.com/,https://uia.org/s/or/en/1122286426,https://uia.org/s/or/en/1122286426,2009,Chicago IL,USA,协会/学会/联盟,organization,是，可作为组织对象展示,组织库生态层,C,,AA2258,已核验,未检索到稳定中文名称,Spread robotic techniques in general surgery and its related specialties.
